the_geom,the_geom_webmercator,facname,addressnum,streetname,address,city,zipcode,factype,facsubgrp,facgroup,facdomain,servarea,opname,opabbrev,optype,overagency,overabbrev,overlevel,capacity,captype,boro,bin,bbl,latitude,longitude,xcoord,ycoord,cd,nta2010,nta2020,council,ct2010,ct2020,borocode,schooldist,policeprct,datasource,uid
0101000020E61000008811A238E97452C06E9602C6EA614440,0101000020110F000008AFD5A0BC595FC1C9B7C95A12FD5241,QUEENS HIGH SCHOOL FOR LANGUAGE STUDIES,35-01,UNION STREET,35-01 UNION STREET,FLUSHING,11354,HIGH SCHOOL - PUBLIC,PUBLIC K-12 SCHOOLS,SCHOOLS (K-12),"EDUCATION, CHILD WELFARE, AND YOUTH",Local,NYC Department of Education,NYCDOE,Public,NYC Department of Education,NYCDOE,City,416,seats,QUEENS,4113172,4050020001,40.7649854906,-73.8267360881,1032245.89893,218029.056585,407,QN22,QN0707,20,116100,116100,4,25,109,doe_lcgms,9ddca93e4a85c55fb3f464d631321506
0101000020E61000005AD3D34EF97A52C0414BAC7B5C684440,0101000020110F0000596EF20009645FC17C4811F34C045341,BRILLA VERITAS CMS,452,COLLEGE AVENUE,452 COLLEGE AVENUE,BRONX,10451,CHARTER SCHOOL,CHARTER K-12 SCHOOLS,SCHOOLS (K-12),"EDUCATION, CHILD WELFARE, AND YOUTH",Local,NYC Department of Education,NYCDOE,Public,NYC Department of Education,NYCDOE,City,0,,BRONX,2000819,2023260023,40.8153306402,-73.921467975,1005987.75169,236333.804257,201,BX39,BX0101,8,005100,005100,2,07,40,nysed_activeinstitutions,9f9ff5c8acd26e7a89ea62927e2bf87b
0101000020E61000001CCA3B71517C52C09D94E8B41E654440,0101000020110F00001A7AF48C51665FC193A6ACF4A9005341,EAST HARLEM SCHOLARS ACADEMY CS,2050,2 AVENUE,2050 2 AVENUE,NEW YORK,10029,CHARTER SCHOOL,CHARTER K-12 SCHOOLS,SCHOOLS (K-12),"EDUCATION, CHILD WELFARE, AND YOUTH",Local,NYC Department of Education,NYCDOE,Public,NYC Department of Education,NYCDOE,City,0,,MANHATTAN,1089693,1016770001,40.7900078673,-73.9424722784,1000179.79716,227103.315349,111,MN33,MN1101,8,017000,017000,1,04,23,nysed_activeinstitutions,a0c285fc4625d3e266ada4ddbc173b7d
0101000020E610000094538796967752C02D8B7EC2CE684440,0101000020110F00002194EECA485E5FC16F1B8F31CD045341,P.S. 107,1695,SEWARD AVENUE,1695 SEWARD AVENUE,BRONX,10473,ELEMENTARY SCHOOL - PUBLIC,PUBLIC K-12 SCHOOLS,SCHOOLS (K-12),"EDUCATION, CHILD WELFARE, AND YOUTH",Local,NYC Department of Education,NYCDOE,Public,NYC Department of Education,NYCDOE,City,450,seats,BRONX,2021972,2035910050,40.8188180891,-73.8685675732,1020628.72639,237621.954893,209,BX09,BX0902,18,002000,002001,2,08,43,doe_lcgms,a521c528f226228fd42de76b1b60dd7a
0101000020E610000051A0E7CFC07F52C0B2086A25F7584440,0101000020110F00004CE4AB3F276C5FC1652B15000AF35241,ALTSCHOOL,212,HICKS STREET,212 HICKS STREET,BROOKLYN,11201,ELEMENTARY SCHOOL - NON-PUBLIC,NON-PUBLIC K-12 SCHOOLS,SCHOOLS (K-12),"EDUCATION, CHILD WELFARE, AND YOUTH",Local,Altschool,Non-public,Non-public,NYC Department of Education,NYCDOE,City,0,,BROOKLYN,3002039,3002470035,40.6950505548,-73.9961447626,985319.062772,192502.132973,302,BK09,BK0201,33,000301,000301,3,13,84,nysed_activeinstitutions,c6b027f3bd2fe7e2e796511e3752579a
0101000020E6100000DF13F2ECE67752C09BB93FE18E574440,0101000020110F0000A48F0F41D15E5FC11F08A77976F15241,SUCCESS ACADEMY CS-NYC 12,,,106 PINE ST-6TH FL,BROOKLYN,11208,CHARTER SCHOOL,CHARTER K-12 SCHOOLS,SCHOOLS (K-12),"EDUCATION, CHILD WELFARE, AND YOUTH",Local,NYC Department of Education,NYCDOE,Public,NYC Department of Education,NYCDOE,City,0,,BROOKLYN,0,0,40.6840561028,-73.8734709816,1019342.44928,188521.853387,305,BK83,BK0501,37,117602,117602,3,19,75,nysed_activeinstitutions,afcebd631293f386b0a15c30706a7907
0101000020E61000005B907E4A9F7B52C0CC56CAF2E6564440,0101000020110F0000CAB551F122655FC11ED5F366BAF05241,RESEARCH AND SERVICE HIGH SCHOOL,1700,FULTON STREET,1700 FULTON STREET,BROOKLYN,11213,HIGH SCHOOL - PUBLIC,PUBLIC K-12 SCHOOLS,SCHOOLS (K-12),"EDUCATION, CHILD WELFARE, AND YOUTH",Local,NYC Department of Education,NYCDOE,Public,NYC Department of Education,NYCDOE,City,366,seats,BROOKLYN,3047996,3017010001,40.6789312378,-73.9315987726,1003222.3409,186636.779865,303,BK61,BK0302,36,027100,027100,3,16,81,doe_lcgms,bea10834fb15c90501968c32d5482090
0101000020E61000000C94DAB5D87952C0CE5DBD60E3694440,0101000020110F00006BC3ADCA1E625FC120A638A603065341,SCHOOL FOR EXCELLENCE,1110,BOSTON ROAD,1110 BOSTON ROAD,BRONX,10456,HIGH SCHOOL - PUBLIC,PUBLIC K-12 SCHOOLS,SCHOOLS (K-12),"EDUCATION, CHILD WELFARE, AND YOUTH",Local,NYC Department of Education,NYCDOE,Public,NYC Department of Education,NYCDOE,City,410,seats,BRONX,2004526,2026340001,40.8272598048,-73.9038533741,1010858.72057,240684.889781,203,BX35,BX0301,16,013500,013500,2,09,42,doe_lcgms,f525ad04afee4ad353bfc4a6bc649395
0101000020E61000003C0A3AD01C7A52C0BF043C53156C4440,0101000020110F0000A02CB77892625FC12C3C7F757A085341,P.S. 070 MAX SCHOENFELD,1691,WEEKS AVENUE,1691 WEEKS AVENUE,BRONX,10457,ELEMENTARY SCHOOL - PUBLIC,PUBLIC K-12 SCHOOLS,SCHOOLS (K-12),"EDUCATION, CHILD WELFARE, AND YOUTH",Local,NYC Department of Education,NYCDOE,Public,NYC Department of Education,NYCDOE,City,1009,seats,BRONX,2007387,2027930028,40.8444090771,-73.9080100554,1009701.79188,246931.767332,204,BX41,BX0403,15,022902,022902,2,09,44,doe_lcgms,dcc0af66af0541e86b720782c98b1bde
0101000020E61000007CC0FC77457452C0C42AA1C16B564440,0101000020110F00006B42667AA6585FC10C6B9A7130F05241,EPIC HIGH SCHOOL - SOUTH,121-10,ROCKAWAY BOULEVARD,121-10 ROCKAWAY BOULEVARD,SOUTH OZONE PARK,11420,HIGH SCHOOL - PUBLIC,PUBLIC K-12 SCHOOLS,SCHOOLS (K-12),"EDUCATION, CHILD WELFARE, AND YOUTH",Local,NYC Department of Education,NYCDOE,Public,NYC Department of Education,NYCDOE,City,451,seats,QUEENS,4253607,4117140100,40.6751717194,-73.8167414194,1035082.97793,185312.844886,410,QN55,QN1001,28,084000,084000,4,27,106,doe_lcgms,e2c88b530cb25b07f014e3196a84f408
0101000020E6100000DFD730F8238052C092959CBEA0534440,0101000020110F000068846FADCF6C5FC1E09585E10FED5241,P.S. 958,836,5 AVENUE,836 5 AVENUE,BROOKLYN,11232,ELEMENTARY SCHOOL - PUBLIC,PUBLIC K-12 SCHOOLS,SCHOOLS (K-12),"EDUCATION, CHILD WELFARE, AND YOUTH",Local,NYC Department of Education,NYCDOE,Public,NYC Department of Education,NYCDOE,City,0,seats,BROOKLYN,0,3006930039,40.6533512799,-74.0021968471,983640.430193,177309.879554,307,BK32,BK0702,38,008400,008400,3,15,72,doe_lcgms,f2c6a30fee7f6534096c8880f96a0077
0101000020E6100000BB1DA682067B52C0FBF0D4DBF85E4440,0101000020110F0000DAF0E96D1F645FC170C5361AC5F95241,THE CHILDREN'S LAB SCHOOL,45-45,42 STREET,45-45 42 STREET,SUNNYSIDE,11104,ELEMENTARY SCHOOL - PUBLIC,PUBLIC K-12 SCHOOLS,SCHOOLS (K-12),"EDUCATION, CHILD WELFARE, AND YOUTH",Local,NYC Department of Education,NYCDOE,Public,NYC Department of Education,NYCDOE,City,413,seats,QUEENS,4540402,4001690006,40.7419778298,-73.9222737836,1005788.4164,209608.70892,402,QN31,QN0202,26,018102,018102,4,24,108,doe_lcgms,f3535d1216f83eccddf39b0b4875f93c
0101000020E610000060007A2CBF8952C0BCD8DA1D13464440,0101000020110F0000816A23E2207D5FC1DE5411D3E6DD5241,P.S. 8 SHIRLEE SOLOMON,112,LINDENWOOD ROAD,112 LINDENWOOD ROAD,STATEN ISLAND,10308,ELEMENTARY SCHOOL - PUBLIC,PUBLIC K-12 SCHOOLS,SCHOOLS (K-12),"EDUCATION, CHILD WELFARE, AND YOUTH",Local,NYC Department of Education,NYCDOE,Public,NYC Department of Education,NYCDOE,City,447,seats,STATEN ISLAND,5066295,5052210001,40.5474666116,-74.1522948044,941924.975565,138770.160403,503,SI54,SI0302,51,015601,015601,5,31,122,doe_lcgms,fe992d08d48c7d836cf2139a20860b39
0101000020E6100000B13D48E3456F52C0B56A697ABA624440,0101000020110F00009A5632FB28505FC1668E3C46FBFD5241,P.S. 094 DAVID D. PORTER,41-77,LITTLE NECK PARKWAY,41-77 LITTLE NECK PARKWAY,LITTLE NECK,11363,ELEMENTARY SCHOOL - PUBLIC,PUBLIC K-12 SCHOOLS,SCHOOLS (K-12),"EDUCATION, CHILD WELFARE, AND YOUTH",Local,NYC Department of Education,NYCDOE,Public,NYC Department of Education,NYCDOE,City,250,seats,QUEENS,4169468,4081350029,40.7713241385,-73.7386419797,1056641.92925,220398.96488,411,QN45,QN1103,19,147900,147900,4,26,111,doe_lcgms,0536c336b2ec460ad64012a03c16a1b2
0101000020E6100000DE6E70C4527A52C099903E21776B4440,0101000020110F0000DAF7251EEE625FC1FA7F8EDCC8075341,CLAREMONT INTERNATIONAL HS,240,EAST 172 STREET,240 EAST 172 STREET,BRONX,10457,HIGH SCHOOL - PUBLIC,PUBLIC K-12 SCHOOLS,SCHOOLS (K-12),"EDUCATION, CHILD WELFARE, AND YOUTH",Local,NYC Department of Education,NYCDOE,Public,NYC Department of Education,NYCDOE,City,488,seats,BRONX,2007806,2028170002,40.8395813391,-73.9113031425,1008792.44136,245171.902569,204,BX14,BX0403,16,022500,022500,2,09,44,doe_lcgms,12a43ae68928b25a0d8f00b6bba0f3a5
0101000020E6100000D89A37A32A7A52C0F3E7F2869E6C4440,0101000020110F0000A8070CF4A9625FC171A9B47F14095341,I.S. 117 JOSEPH H. WADE,1865,MORRIS AVENUE,1865 MORRIS AVENUE,BRONX,10453,JUNIOR HIGH-INTERMEDIATE-MIDDLE SCHOOL - PUBLIC,PUBLIC K-12 SCHOOLS,SCHOOLS (K-12),"EDUCATION, CHILD WELFARE, AND YOUTH",Local,NYC Department of Education,NYCDOE,Public,NYC Department of Education,NYCDOE,City,604,seats,BRONX,2007902,2028270001,40.8485961513,-73.9088538158,1009466.75289,248457.031775,205,BX41,BX0502,14,023301,023301,2,09,46,doe_lcgms,2c758fd445e06b33ca7ded06e7c34718
0101000020E610000081E137982C7E52C00A66468A21584440,0101000020110F000013CB02A578695FC1FEDFD3BC1AF25241,COMPASS CHARTER SCHOOL,300,ADELPHI STREET,300 ADELPHI STREET,BROOKLYN,11205,ELEMENTARY SCHOOL - CHARTER,CHARTER K-12 SCHOOLS,SCHOOLS (K-12),"EDUCATION, CHILD WELFARE, AND YOUTH",Local,Compass Charter School,Non-public,Non-public,NYC Department of Education,NYCDOE,City,342,seats,BROOKLYN,3059051,3021030004,40.6885318168,-73.9714732746,992161.274555,190128.429959,302,BK68,BK0203,35,018100,018100,3,13,88,doe_lcgms,391fd09a60c8330b1fed7cf68631de69
0101000020E6100000B0EAEF4CE97652C09ADD3CF9296C4440,0101000020110F0000C7094E72225D5FC11A660EA491085341,P.S./M.S. 11X498 - VAN NEST ACADEMY,1640,BRONXDALE AVENUE,1640 BRONXDALE AVENUE,BRONX,10462,K-8 SCHOOL - PUBLIC,PUBLIC K-12 SCHOOLS,SCHOOLS (K-12),"EDUCATION, CHILD WELFARE, AND YOUTH",Local,NYC Department of Education,NYCDOE,Public,NYC Department of Education,NYCDOE,City,403,seats,BRONX,2116414,2040910001,40.8450392203,-73.857990944,1023540.70505,247179.83641,211,BX37,BX1102,13,024400,024400,2,11,49,doe_lcgms,145b8c2654025211108a214ea326834f
0101000020E61000004821C3CA0F7B52C012D9BAEB57694440,0101000020110F00006B3FFB312F645FC18BE2C92067055341,CONCOURSE VILLAGE ELEMENTARY SCHOOL,750,CONCOURSE VILLAGE WEST,750 CONCOURSE VILLAGE WEST,BRONX,10451,ELEMENTARY SCHOOL - PUBLIC,PUBLIC K-12 SCHOOLS,SCHOOLS (K-12),"EDUCATION, CHILD WELFARE, AND YOUTH",Local,NYC Department of Education,NYCDOE,Public,NYC Department of Education,NYCDOE,City,485,seats,BRONX,2002454,2024430079,40.8230039106,-73.9228402981,1005605.42868,239129.114957,204,BX14,BX0401,17,006100,006100,2,07,44,doe_lcgms,1b50aa45f6af8306ad2e6af5053504d2
0101000020E6100000FB447261677F52C0035E443870554440,0101000020110F0000734621578F6B5FC12805F1C716EF5241,P.S. 124 SILAS B. DUTCHER,515,4 AVENUE,515 4 AVENUE,BROOKLYN,11215,ELEMENTARY SCHOOL - PUBLIC,PUBLIC K-12 SCHOOLS,SCHOOLS (K-12),"EDUCATION, CHILD WELFARE, AND YOUTH",Local,NYC Department of Education,NYCDOE,Public,NYC Department of Education,NYCDOE,City,264,seats,BROOKLYN,3023391,3010340001,40.6674954238,-73.990686295,986833.770951,182463.116581,306,BK37,BK0602,39,014100,014101,3,15,78,doe_lcgms,2c07e20e9c9497d9a3a7b8cf7b273db5
0101000020E6100000F69CF646327852C0B3961F67D95D4440,0101000020110F000045D5183F515F5FC1F125E0E582F85241,P.S. 102 BAYVIEW,55-24,VAN HORN STREET,55-24 VAN HORN STREET,ELMHURST,11373,K-8 SCHOOL - PUBLIC,PUBLIC K-12 SCHOOLS,SCHOOLS (K-12),"EDUCATION, CHILD WELFARE, AND YOUTH",Local,NYC Department of Education,NYCDOE,Public,NYC Department of Education,NYCDOE,City,1027,seats,QUEENS,4437597,4028790031,40.7332053725,-73.8780700856,1018041.9774,206426.588273,404,QN50,QN0401,25,047900,047900,4,24,110,doe_lcgms,67cc54cca08076dbb47e1082ecc60dfe
0101000020E6100000B9517DE8197F52C0307B8FD4A4514440,0101000020110F00007266DBBE0B6B5FC1D940975AD7EA5241,BAIS FRIMA CHINUCH CENTER,1377,42 STREET,1377 42 STREET,BROOKLYN,11219,ELEMENTARY SCHOOL - NON-PUBLIC,NON-PUBLIC K-12 SCHOOLS,SCHOOLS (K-12),"EDUCATION, CHILD WELFARE, AND YOUTH",Local,Bais Frima Chinuch Center,Non-public,Non-public,NYC Department of Education,NYCDOE,City,0,,BROOKLYN,3135754,3055940046,40.6378509645,-73.9859577458,988147.277589,171662.995262,312,BK88,BK1202,39,023200,023200,3,20,66,nysed_activeinstitutions,4c84d4d102f5e001894cbfcbe5a5df46
0101000020E61000009173B06C867E52C028012E43C24E4440,0101000020110F000079BAD43A116A5FC1974519E29CE75241,P.S. 226 ALFRED DE B. MASON,6006,23 AVENUE,6006 23 AVENUE,BROOKLYN,11204,K-8 SCHOOL - PUBLIC,PUBLIC K-12 SCHOOLS,SCHOOLS (K-12),"EDUCATION, CHILD WELFARE, AND YOUTH",Local,NYC Department of Education,NYCDOE,Public,NYC Department of Education,NYCDOE,City,969,seats,BROOKLYN,3172071,3065490024,40.6153116574,-73.9769560583,990647.759924,163451.855112,312,BK88,BK1204,44,044600,044600,3,21,66,doe_lcgms,5aec8ef5dc64a1c6af0836889211fe9b
,,P.S. Q256,,,,,11791,"K-12 ALL GRADES SCHOOL - PUBLIC, SPECIAL EDUCATION",PUBLIC AND PRIVATE SPECIAL EDUCATION SCHOOLS,SCHOOLS (K-12),"EDUCATION, CHILD WELFARE, AND YOUTH",Local,NYC Department of Education,NYCDOE,Public,NYC Department of Education,NYCDOE,City,0,seats,,0,0,0,0,0,0,0,,,0,,,0,,0,doe_lcgms,8d6fe5d66b53ef006205d2153d6f96f2
0101000020E6100000B5AE5C4F327752C055129BD7E56F4440,0101000020110F0000934CDF759E5D5FC1C7478107C30C5341,LEARNING TREE PREP SCHOOL,801,BARTHOLDI STREET,801 BARTHOLDI STREET,BRONX,10467,ELEMENTARY SCHOOL - NON-PUBLIC,NON-PUBLIC K-12 SCHOOLS,SCHOOLS (K-12),"EDUCATION, CHILD WELFARE, AND YOUTH",Local,Learning Tree Preparatory School (The),Non-public,Non-public,NYC Department of Education,NYCDOE,City,0,,BRONX,2057044,2046330011,40.8742100211,-73.8624470905,1022291.10168,257805.9051,212,BX44,BX1201,12,037200,037200,2,11,47,nysed_activeinstitutions,000f976f2d69b025dda2093070ef0b59
0101000020E6100000E00F9699DF7752C022CE66163B584440,0101000020110F00002DF692CFC45E5FC1202D305A37F25241,P.S. 007 ABRAHAM LINCOLN,858,JAMAICA AVENUE,858 JAMAICA AVENUE,BROOKLYN,11208,ELEMENTARY SCHOOL - PUBLIC,PUBLIC K-12 SCHOOLS,SCHOOLS (K-12),"EDUCATION, CHILD WELFARE, AND YOUTH",Local,NYC Department of Education,NYCDOE,Public,NYC Department of Education,NYCDOE,City,754,seats,BROOKLYN,3090998,3041060039,40.689311464,-73.8730238623,1019463.681,190436.71197,305,BK83,BK0501,37,118201,118201,3,19,75,doe_lcgms,0029fead6191945fd2bc9c815defd90f
0101000020E61000000CC3AA24D97952C066F4A27105524440,0101000020110F000053FAE7861F625FC1C6A0A07C43EB5241,GREAT COMMISSION CHRISTIAN SCHOOL,1187,EAST 92 STREET,1187 EAST 92 STREET,BROOKLYN,11236,ELEMENTARY SCHOOL - NON-PUBLIC,NON-PUBLIC K-12 SCHOOLS,SCHOOLS (K-12),"EDUCATION, CHILD WELFARE, AND YOUTH",Local,Great Commission Christian School,Non-public,Non-public,NYC Department of Education,NYCDOE,City,0,,BROOKLYN,3229966,3082000032,40.6407993799,-73.903879782,1010925.95529,172751.506275,318,BK50,BK1803,46,096600,096600,3,18,69,nysed_activeinstitutions,002eff43f9256d91131842112479b10e
0101000020E6100000C14E0B74A37152C0B21E976263564440,0101000020110F000077D25A982D545FC12200C31127F05241,CATHERINE & COUNT BASIE MIDDLE SCHOOL 72,133-25,GUY R BREWER BOULEVARD,133-25 GUY R BREWER BOULEVARD,JAMAICA,11434,JUNIOR HIGH-INTERMEDIATE-MIDDLE SCHOOL - PUBLIC,PUBLIC K-12 SCHOOLS,SCHOOLS (K-12),"EDUCATION, CHILD WELFARE, AND YOUTH",Local,NYC Department of Education,NYCDOE,Public,NYC Department of Education,NYCDOE,City,657,seats,QUEENS,4270059,4124950270,40.6749162505,-73.7756027695,1046494.39242,185246.32299,412,QN02,QN1204,28,033402,033403,4,28,113,doe_lcgms,00f6d5efcb439381038328417a28543c
